범죄대분류,범죄중분류,서울,부산,대구,인천,광주,대전,울산,세종,경기 고양,경기 과천,경기 광명,경기 광주,경기 구리,경기 군포,경기 김포,경기 남양주,경기 동두천,경기 부천,경기 성남,경기 수원,경기 시흥,경기 안산,경기 안성,경기 안양,경기 양주,경기 여주,경기 오산,경기 용인,경기 의왕,경기 의정부,경기 이천,경기 파주,경기 평택,경기 포천,경기 하남,경기 화성,강원 강릉,강원 동해,강원 삼척,강원 속초,강원 원주,강원 춘천,강원 태백,충북 제천,충북 청주,충북 충주,충남 계룡,충남 공주,충남 논산,충남 당진,충남 보령,충남 서산,충남 아산,충남 천안,전북 군산,전북 김제,전북 남원,전북 익산,전북 전주,전북 정읍,전남 광양,전남 나주,전남 목포,전남 순천,전남 여수,경북 경산,경북 경주,경북 구미,경북 김천,경북 문경,경북 상주,경북 안동,경북 영주,경북 영천,경북 포항,경남 거제,경남 김해,경남 밀양,경남 사천,경남 양산,경남 진주,경남 창원,경남 통영,제주 서귀포,제주 제주,기타도시,도시이외
폭력범죄,폭행,27785,9975,6060,10460,4252,4659,2748,345,2432,75,915,1051,638,571,969,1157,313,2728,2199,3977,1517,2726,665,1423,695,325,686,1777,243,1952,712,1065,2166,439,657,2124,671,208,172,373,675,591,100,248,2257,361,23,156,187,311,158,401,878,1298,801,229,166,876,1631,245,348,188,860,707,674,706,508,748,458,125,133,525,172,233,1118,713,1377,158,313,796,928,2625,385,511,2068,32,6455
폭력범죄,체포감금,215,78,50,105,30,32,37,3,23,2,5,11,3,1,7,17,5,11,16,30,11,20,2,11,8,6,9,18,3,16,5,10,24,4,0,16,6,4,0,2,2,9,1,4,27,2,0,2,0,3,3,2,11,32,11,2,2,4,14,1,4,2,10,5,5,6,6,3,1,2,1,10,1,5,10,7,15,2,1,10,6,17,1,5,14,7,65
폭력범죄,협박,3896,1406,925,1318,484,707,365,92,415,13,144,192,69,85,164,232,25,418,376,587,317,407,106,234,112,80,114,290,51,175,124,125,392,73,95,334,94,32,40,54,156,114,23,49,345,73,6,52,43,59,42,75,169,268,91,33,29,80,167,46,67,45,123,124,120,101,64,132,80,15,37,99,36,44,120,102,185,40,56,159,115,321,85,93,378,79,1312
폭력범죄,약취유인,53,11,2,13,4,5,5,1,12,0,0,0,2,1,0,2,1,7,2,4,2,6,0,1,1,0,0,1,2,1,0,6,3,1,1,3,0,0,0,2,0,0,0,1,5,2,0,1,1,0,0,0,3,2,1,0,0,3,0,0,3,0,1,0,0,0,0,0,1,0,0,1,1,0,2,2,1,0,0,0,1,5,1,2,4,4,7
폭력범죄,폭력행위등,1187,593,285,509,243,209,189,28,111,3,47,24,19,27,49,75,39,131,120,139,82,139,20,77,12,15,35,49,9,76,41,43,107,32,30,112,36,31,12,22,38,36,8,7,115,17,0,23,15,24,29,23,77,100,82,10,17,29,135,18,19,33,73,43,48,36,35,65,34,8,6,26,14,15,114,44,72,10,18,65,59,158,40,45,102,12,394
폭력범죄,공갈,879,354,181,426,90,161,80,24,89,2,18,26,8,15,40,56,12,111,60,141,46,78,13,55,15,19,31,67,12,48,14,31,58,7,28,101,13,5,6,4,19,34,3,10,139,19,1,16,10,11,8,20,19,73,36,8,5,18,83,7,14,9,28,42,27,14,17,70,25,2,9,21,14,8,32,32,70,7,11,31,90,128,14,20,63,208,312
폭력범죄,손괴,10435,3734,2804,3373,1435,1632,1155,241,895,38,352,435,225,214,428,684,147,1245,930,1625,778,1026,313,659,293,169,330,841,102,605,359,484,850,179,244,863,258,115,90,139,459,304,50,179,1011,272,29,99,149,196,133,246,445,871,290,72,69,242,632,106,126,103,363,294,383,320,262,498,185,82,92,230,98,150,575,290,617,132,113,348,394,1077,168,373,910,10,3420
지능범죄,직무유기,166,54,39,32,17,12,12,6,10,4,0,4,7,0,4,3,2,2,10,16,4,0,2,5,1,3,2,13,10,5,1,2,7,0,1,8,5,2,0,3,3,3,0,0,6,2,0,1,3,0,0,1,0,6,3,2,1,2,9,3,3,0,0,2,2,1,2,1,4,2,2,5,1,2,2,0,4,9,0,5,1,18,1,4,4,14,122
지능범죄,직권남용,181,60,16,26,14,22,8,11,6,2,2,5,5,1,2,8,2,9,5,27,5,4,3,5,1,4,5,5,13,7,7,1,13,0,2,11,3,0,0,0,6,3,0,1,8,3,0,0,0,0,0,2,0,5,4,0,1,4,6,6,0,2,3,2,3,0,4,1,1,0,5,3,1,0,5,1,9,2,0,4,3,10,2,4,7,13,89
지능범죄,증수뢰,61,24,5,9,7,9,3,4,3,1,0,0,0,0,2,3,0,6,1,3,4,3,0,3,2,0,1,1,3,0,0,0,3,2,0,2,1,0,1,0,0,2,0,1,7,2,1,0,2,0,0,2,1,8,1,2,0,0,4,0,1,1,1,4,3,1,0,6,1,0,0,0,0,0,0,1,1,1,0,2,4,2,1,0,5,3,51
지능범죄,통화,206,26,18,52,19,21,4,3,9,2,0,5,6,4,3,5,2,11,30,5,6,8,0,7,0,2,2,7,1,9,2,1,10,2,3,2,3,0,1,0,5,6,0,1,13,3,0,2,2,1,0,0,3,17,2,0,0,5,1,4,0,0,2,1,3,1,2,3,0,0,1,1,1,0,4,1,2,0,0,0,5,1,0,0,10,4,22
지능범죄,문서인장,2360,873,455,613,363,345,209,68,234,11,36,91,27,26,63,124,27,185,154,254,86,195,39,78,42,22,24,159,25,95,45,75,133,30,46,80,28,17,10,20,65,65,13,21,203,39,6,24,45,39,20,34,63,148,99,26,18,62,173,22,25,28,72,58,69,45,55,88,22,21,22,23,17,22,97,59,139,28,31,70,76,242,29,19,157,310,757
